,0,1,2,3,4,5
3100,"Nhà đẹp về ở luôn, ngõ 50 Võng Thị DT 55m2 x 5 tầng MT5,5m gần Hồ Tây","Quận Tây Hồ, Hà Nội",5 tỷ 500 triệu,45 m2,4 PN,4 WC
3101,"Bán đất Tây Hồ ngõ 124 Âu Cơ 191m2 x MT: 7m hướng ĐB bán 19,8 tỷ ôtô","Quận Tây Hồ, Hà Nội",19 tỷ 800 triệu,191 m2,0 PN,0 WC
3102,"(Nhà dân xây) Bán nhà ngõ 266 Nguyễn Văn Cừ giá 4.1 tỷ, 47Mx4T","Quận Long Biên, Hà Nội",4 tỷ 100 triệu,47 m2,4 PN,3 WC
3103,"Cần bán gấp nhà 4 ngõ 123/1 Thụy Khuê , Tây hồ 29,2mx3T, Giá 5,6 tỷ","Quận Tây Hồ, Hà Nội",5 tỷ 600 triệu,30 m2,2 PN,2 WC
3104,"Chính chủ bán nhà ngõ 117 Thái Hà giá 6,95 tỷ, 55mx5 tầng hiện đại,Oto","Quận Đống Đa, Hà Nội",6 tỷ 950 triệu,55 m2,4 PN,4 WC
3105,Nhà Mới Tây Mỗ-35M 5 Tầng-4P Ngủ-20M ra ô tô đỗ-nội thất mới 2.73 tỷ,"Quận Nam Từ Liêm, Hà Nội",2 tỷ 730 triệu,35 m2,4 PN,4 WC
3106,"Bán đất ngõ 207 l Xuân đỉnh Tây hồ Hà Nội .50.6m,mặt tiền 3,2m giá: 3.","Quận Bắc Từ Liêm, Hà Nội",3 tỷ 200 triệu,50 m2,0 PN,0 WC
3107,"Mặt phố Tam Trinh, DT 602m2, Mặt Tiền 18.5m, Thuê 137 Tr/Thg, 200Tr/m2","Quận Hoàng Mai, Hà Nội",128 tỷ,602 m2,1 PN,1 WC
3108,Nhà đẹp tự xây ở luôn phố Hoa Lâm Việt Hưng 35m2 4 tầng ô tô đỗ cửa,"Quận Long Biên, Hà Nội",3 tỷ 350 triệu,35 m2,4 PN,3 WC
3109,"CC cần sang tên gấp CHCC Hoa Đào Hottel, Tây Hồ, 110,6m2, giá 3.85 tỷ.","Quận Tây Hồ, Hà Nội",3 tỷ 850 triệu,111 m2,3 PN,2 WC
3110,"Cần bán cc N11A Trân Quý kiên 2 ngủ,2 wc full đồ, chỉ nhỉnh 2 tỷ","Quận Cầu Giấy, Hà Nội",2 tỷ 250 triệu,60 m2,2 PN,2 WC
3111,"Bán nhà Tây Hồ ngõ 29 Thụy Khuê 44m x 3 tầng 3.8 tỷ, gần đường, Sổ 44m","Quận Tây Hồ, Hà Nội",3 tỷ 800 triệu,44 m2,3 PN,3 WC
3112,"Bán đất Tây Mỗ ngõ 193 Cầu Cốc 54 triệu/m DT53m, MT 3.5m ô tô cách 10m","Quận Nam Từ Liêm, Hà Nội",2 tỷ 862 triệu,53 m2,0 PN,0 WC
3113,"52m đất Ngọc Trì, ô tô, an sinh, đầu tư, nhỉnh 3 tỷ","Quận Long Biên, Hà Nội",3 tỷ,51 m2,0 PN,0 WC
3114,"Bán nhà ngay Ngã Tư Sở, 84m2, mt 6m, đầu tư DT cực hợp lý, nhỉnh 6 tỷ.","Quận Thanh Xuân, Hà Nội",6 tỷ 590 triệu,84 m2,7 PN,4 WC
3115,"Bán gấp nhà Võng Thị, Tây Hồ Wive toàn cảnh Hồ Tây DT 35m2 x 4T MT4,5m","Quận Tây Hồ, Hà Nội",7 tỷ 600 triệu,35 m2,3 PN,3 WC
3116,"Bán đất Tây Hồ ngõ 124 Âu Cơ 60m2 x MT: 3,5m hướng TN bán 6,8 tỷ ôtô","Quận Tây Hồ, Hà Nội",6 tỷ 800 triệu,60 m2,0 PN,0 WC
3117,"[59tr/m] Bán nhà hồ Tai Trâu, Ngọc Lâm giá 3.35 tỷ, 56m2, Nhà vuông","Quận Long Biên, Hà Nội",3 tỷ 350 triệu,56 m2,1 PN,1 WC
3118,"Cần bán nhà 7 ngõ 161 Đường nước phần lan, Tây Hồ 46m2x5T, giá 7,6 tỷ","Quận Tây Hồ, Hà Nội",7 tỷ 600 triệu,46 m2,6 PN,4 WC
3119,"Cần bán gấp nhà ngõ 120 Yên Lãng giá 8.8 tỷ, 60mx6 tầng, oto cách 5m","Quận Đống Đa, Hà Nội",8 tỷ 800 triệu,60 m2,5 PN,6 WC
3120,Nhà Phương Canh-38M 5 Tầng-Ngõ rộng thông thoáng-Ô tô đỗ-có nội thất,"Quận Nam Từ Liêm, Hà Nội",3 tỷ 400 triệu,38 m2,4 PN,4 WC
3121,Bán nhà riêng tại ngõ 603 Lạc long Quân Tây hồ Hà Nội.110m mặt tiền 6m,"Quận Tây Hồ, Hà Nội",29 tỷ,110 m2,1 PN,1 WC
3122,"Chính chủ bán nhà 9 tầng mặt phố Hoàng Văn Thái DT 100m MT 7,5m 45 tỷ","Quận Thanh Xuân, Hà Nội",45 tỷ,100 m2,12 PN,9 WC
3123,Chỉ có hơn 6 tỷ nhà đẹp ngõ thông ô tô tránh Phúc Đồng mà diện tích 60,"Quận Long Biên, Hà Nội",6 tỷ 600 triệu,60 m2,3 PN,2 WC
3124,"Cần sang tên gấp CHCC Hoa Đào Hottel, Tây Hồ, 110,6m2, giá 3.85 tỷ.","Quận Tây Hồ, Hà Nội",3 tỷ 850 triệu,111 m2,3 PN,2 WC
3125,"Bán nhà tự xây kiên cố 464/35 Âu cơ 4 tầng, ngõ thông, gần đường lớn","Quận Tây Hồ, Hà Nội",4 tỷ 300 triệu,43 m2,4 PN,4 WC
3126,Bán CHCC Packexim 1 Phú Thượng Tầng 8 145m 3 ngủ 2VS giá 3.7 tỷ căn gó,"Quận Tây Hồ, Hà Nội",3 tỷ 700 triệu,145 m2,3 PN,2 WC
3127,Bán trong tuần - nhà Trịnh Văn Bô 31m x5 tầng 4PN ô tô đỗ cửa 3 tỷ,"Quận Nam Từ Liêm, Hà Nội",3 tỷ,31 m2,4 PN,4 WC
3128,"Nhà 4 tầng Thanh Am, Phân Lô, Vỉa Hè, ô tô tránh. Nhỉnh 7 tỷ","Quận Long Biên, Hà Nội",7 tỷ,60 m2,4 PN,4 WC
3129,"Bán nhà Cự Lộc, 63m2, mt 4.1, hàng xóm Yoyal City, giá 7 tỷ.","Quận Thanh Xuân, Hà Nội",7 tỷ,63 m2,4 PN,4 WC
3130,"Bán nhà mặt phố Lý Thường Kiệt, Hoàn Kiếm DT 35m2 x 4 tầng MT4m.","Quận Hoàn Kiếm, Hà Nội",34 tỷ,35 m2,3 PN,3 WC
3131,"Bán nhà Tây Hồ ngõ Tứ Liên 65m2 x 4T - MT: 5m hướng ĐB bán 7,1tỷ ôtô","Quận Tây Hồ, Hà Nội",7 tỷ 100 triệu,65 m2,3 PN,3 WC
3132,"(TRƯỜNG GIA THIỀU) Bán nhà ngõ 298 Ngọc Lâm giá 4.8 tỷ, 38Mx5T, Ô tô","Quận Long Biên, Hà Nội",4 tỷ 800 triệu,38 m2,3 PN,4 WC
3133,"Khu Vip Tây Hồ , nhà mặt phố 265 Đồng Cổ , DT 29m2, 6 tầng, giá 7,6 tỷ","Quận Tây Hồ, Hà Nội",7 tỷ 600 triệu,29 m2,4 PN,5 WC
3134,"Cần bán gấp Mặt phố Đê La Thành giá 7.2 tỷ, 30mx4 tầng, kinh doanh đôn","Quận Đống Đa, Hà Nội",7 tỷ 200 triệu,30 m2,3 PN,4 WC
3135,"Bán nhà riêng tại ngõ 38 Xuân La Tây hồ Hà Nội, 50m, mặt tiền 4,3m","Quận Tây Hồ, Hà Nội",5 tỷ 800 triệu,50 m2,4 PN,3 WC
3136,Chính chủ bán nhà 8 tầng phố Huỳnh thúc kháng DT 70m 2 mặt thoáng,"Quận Đống Đa, Hà Nội",18 tỷ 800 triệu,65 m2,6 PN,7 WC
3137,"Chính chủ Bán gấp nhà MP An Dương Dt 65,6m2, mt 4m, giá 10,5tỷ, OTO","Quận Tây Hồ, Hà Nội",11 tỷ 500 triệu,66 m2,4 PN,4 WC
3138,"Mảnh đất lô góc, ngõ ô tô chia đôi xây bán Đức Giang 90m2 mà chỉ chào","Quận Long Biên, Hà Nội",5 tỷ 750 triệu,90 m2,0 PN,0 WC
3139,"Bán nhà tự xây 372 Thụy khuê 4 tầng, ngõ thông kinh doanh và cho thuê","Quận Tây Hồ, Hà Nội",4 tỷ 850 triệu,40 m2,5 PN,4 WC
3140,Bán CHCC F15 Võ Chí Công ngõ 28 Xuân La 120m2 Full đồ 3.7 tỷ 3N 2VS,"Quận Tây Hồ, Hà Nội",3 tỷ 700 triệu,120 m2,3 PN,2 WC
3141,Bán đất gần UBND phường Đại Mỗ 67m2 MT 7.9m cách 1 nhà ra đường ô tô,"Quận Nam Từ Liêm, Hà Nội",4 tỷ,67 m2,0 PN,0 WC
3142,Đất Nguyễn Mậu Tài 39m khu vực được săn đón nhất huyện Gia Lâm,"Huyện Gia Lâm, Hà Nội",5 tỷ,39 m2,0 PN,0 WC
3143,"Bán nhà sát phố Nguyễn Lân, 45m2, ô tô, ngõ thông, giá 7.1 tỷ.","Quận Thanh Xuân, Hà Nội",7 tỷ 100 triệu,45 m2,4 PN,4 WC
3144,"Cần bán nhanh nhà phố Võng Thị, Tây Hồ DT 35m2 x 5 tầng gần mặt phố.","Quận Tây Hồ, Hà Nội",5 tỷ 800 triệu,35 m2,3 PN,4 WC
3145,"Bán đất Tây Hồ phố Tứ Liên 87m2 x MT: 5,5m hướng ĐN Bán 9tỷ ô tô","Quận Tây Hồ, Hà Nội",9 tỷ,87 m2,0 PN,0 WC
3146,"[KINH DOANH ĐỈNH] Nhà Ngọc Lâm giá 3.2 tỷ, 30M x 4T Ngõ 7 chỗ","Quận Long Biên, Hà Nội",3 tỷ 200 triệu,30 m2,3 PN,3 WC
3147,"Cần bán gấp nhà số 28 ngõ 628/1 Hoàng Hoa Thám , Tây Hồ , 55m2x2,5T, g","Quận Tây Hồ, Hà Nội",7 tỷ,55 m2,2 PN,2 WC
3148,"Bán nhà phố Khương Trung 25 tỷ - 150m x 8T, MT 7m, Kinh Doanh Tốt.","Quận Thanh Xuân, Hà Nội",25 tỷ,150 m2,27 PN,27 WC
3149,"bán nhà riêng ngõ 219 trích sài, Tây hồ Hà Nội diện tích 20m giá 3,05","Quận Tây Hồ, Hà Nội",3 tỷ 50 triệu,20 m2,4 PN,4 WC
3150,Chính chủ bán nhà 7 tầng phố nguyên hồng DT 70m 2 mặt ngõ trước sau,"Quận Đống Đa, Hà Nội",16 tỷ 900 triệu,70 m2,6 PN,6 WC
3151,"Bán GẤP căn nhà MP Yên Phụ, Tây Hồ, DT 87m2, MT 5,5m giá 9 tỷ, ô tô KD","Quận Tây Hồ, Hà Nội",9 tỷ,87 m2,0 PN,0 WC
3152,"Cực hiếm bán nhà Nguyễn Sơn ô tô tránh 47m2 chỉ có 5,3 tỷ","Quận Long Biên, Hà Nội",5 tỷ 300 triệu,47 m2,3 PN,2 WC
3153,"Cần bán cc Ngoại giao đoàn, CĂN GÓC 110M2, 3 ngủ full đồ đẹp như ảnh","Quận Bắc Từ Liêm, Hà Nội",4 tỷ 970 triệu,110 m2,3 PN,2 WC
3154,Bán CHCC D'el Dorado Tân Hoàng Minh tầng 10 giá 3.5 tỷ 55m2 Full đồ,"Quận Tây Hồ, Hà Nội",3 tỷ 500 triệu,55 m2,1 PN,1 WC
3155,"Nhà 3 tầng x74m Quang Tiến đg ô tô tránh, trước mặt là khu BT Vinhomes","Quận Nam Từ Liêm, Hà Nội",7 tỷ 500 triệu,74 m2,4 PN,3 WC
3156,"41m đất Vũ Xân Thiều, gần hồ, gần ô tô, An sinh nhỉnh 2 tỷ","Quận Long Biên, Hà Nội",2 tỷ,41 m2,0 PN,0 WC
3157,"3.9 tỷ! Nhà cực đẹp gần Ngã Tư Sở, 39m2, 3 ngủ full nội thất điều hoà.","Quận Thanh Xuân, Hà Nội",3 tỷ 900 triệu,39 m2,3 PN,3 WC
3158,"Bán nhà phân lô phố Vip Lý Nam Đế, Hoàn Kiếm DT 60m2 x 4 tầng MT4,6m.","Quận Hoàn Kiếm, Hà Nội",13 tỷ 800 triệu,60 m2,4 PN,5 WC
3159,"Bán đất Tây Hồ ngõ Đê Quai 54m2 x MT: 4m hướng Đông Bắc Bán 25,8tỷ","Quận Tây Hồ, Hà Nội",25 tỷ 800 triệu,54 m2,0 PN,0 WC
3160,"(THANG MÁY) Bán nhà Tư Đình giá 5.8 tỷ, 50Mx6T, Gara ô tô, Nhà mới đẹp","Quận Long Biên, Hà Nội",5 tỷ 800 triệu,50 m2,4 PN,5 WC
3161,"Bán nhà số 23 ngõ 89/38 Lạc Long Quân , Tây Hồ, DT 35m2, giá 8,7 tỷ","Quận Tây Hồ, Hà Nội",8 tỷ 700 triệu,35 m2,1 PN,1 WC
3162,"Căn hộ tập thể dành cho cán bộ, 5 tầng xây mới, chất lượng xây dựng tố","Quận Thanh Xuân, Hà Nội",2 tỷ 300 triệu,75 m2,2 PN,2 WC
3163,"Bán nhà ngõ 45 Võ Chí Công Tây hồ Hà Nội 31m x4T mặt tiền 3,1m giá 3.8","Quận Cầu Giấy, Hà Nội",3 tỷ 800 triệu,31 m2,3 PN,2 WC
3164,"Chính chủ bán nhà phố trần Duy Hưng DT 106m MT 8,2m giá 18,3 tỷ","Quận Cầu Giấy, Hà Nội",18 tỷ 300 triệu,106 m2,1 PN,1 WC
3165,"Tôi chính chủ bán Gấp CH Apartment Tô Ngọc Vân 80m2, MT 6,5m, 28 tỷ","Quận Tây Hồ, Hà Nội",28 tỷ,80 m2,7 PN,7 WC
3166,"Ngọc Trì ngõ thông ô tô tránh bán nhà 5 tầng chỉ có 4,5 tỷ","Quận Long Biên, Hà Nội",4 tỷ 500 triệu,35 m2,4 PN,3 WC
3167,Bán nhà Tây Hồ ngõ 32 An Dương 50m 2 tầng Mtien 5m giá 3.1 tỷ ngõ ô tô,"Quận Tây Hồ, Hà Nội",3 tỷ 100 triệu,50 m2,2 PN,1 WC
3168,"Bán đất Do Nha tặng nhà cấp 4 2PN DT 56m2, MT 4m xe morning đỗ cửa 2.9","Quận Nam Từ Liêm, Hà Nội",2 tỷ 950 triệu,56 m2,2 PN,1 WC
3169,"Nhà 7 Tầng Ngọc Lâm, lô góc, thang máy, ô tô, Văn Phòng nhỉnh 12 tỷ","Quận Long Biên, Hà Nội",12 tỷ,70 m2,5 PN,10 WC
3170,"6.4 tỷ! Nhà đẹp Cự Lộc, TT Thanh Xuân, 62m2, mt 5m, gần phố ô tô","Quận Thanh Xuân, Hà Nội",6 tỷ 400 triệu,62 m2,4 PN,3 WC
3171,"Bán nhà phố Vạn Bảo, Liễu Giai DT 55m2 x 2T MT6m, vị trí đẹp ngõ ô tô.","Quận Ba Đình, Hà Nội",11 tỷ 700 triệu,55 m2,3 PN,3 WC
3172,"Bán nhà Tây Hồ ngõ 172 Âu Cơ 151m2 x 3T - MT: 3,3m hướng ĐN 10,3 tỷ","Quận Tây Hồ, Hà Nội",10 tỷ 300 triệu,151 m2,3 PN,2 WC
3173,"(5 ngủ) Bán nhà ngõ 266 Nguyễn Văn Cừ giá 5.2 tỷ, 47Mx5T Ngõ ô tô","Quận Long Biên, Hà Nội",5 tỷ 200 triệu,47 m2,5 PN,4 WC
3174,"Bán đất ngõ 105/1 Xuân La , Tây Hồ , diện tích 65m2, giá 13,3 tỷ","Quận Tây Hồ, Hà Nội",13 tỷ 300 triệu,65 m2,0 PN,0 WC
3175,"Bán nhà ngõ 378 Lê Duẩn giá 6.1 tỷ, 80m2, MT 5.5m, SĐCC, giao ngay","Quận Đống Đa, Hà Nội",6 tỷ 100 triệu,80 m2,5 PN,3 WC
3176,"Bán nhà riêng ngõ 477 xuân đỉnh, Bắc từ liêm, hà nội 31m giá 3,4 tỷ,mt","Quận Bắc Từ Liêm, Hà Nội",3 tỷ 400 triệu,30 m2,5 PN,5 WC
3177,"Mặt Phố Phan Đình Phùng, 180m2, Mặt Tiền 6m, 1 Mặt Phố 2 Mặt Đường Ôtô","Quận Ba Đình, Hà Nội",120 tỷ,180 m2,1 PN,1 WC
3178,"(5 ngủ) Bán nhà ngõ 266 Nguyễn Văn Cừ giá 5.2 tỷ, 47Mx5T Ngõ ô tô","Quận Long Biên, Hà Nội",5 tỷ 200 triệu,47 m2,5 PN,4 WC
3179,"Bán đất ngõ 105/1 Xuân La , Tây Hồ , diện tích 65m2, giá 13,3 tỷ","Quận Tây Hồ, Hà Nội",13 tỷ 300 triệu,65 m2,0 PN,0 WC
3180,"Bán nhà ngõ 378 Lê Duẩn giá 6.1 tỷ, 80m2, MT 5.5m, SĐCC, giao ngay","Quận Đống Đa, Hà Nội",6 tỷ 100 triệu,80 m2,5 PN,3 WC
3181,"Bán nhà riêng ngõ 477 xuân đỉnh, Bắc từ liêm, hà nội 31m giá 3,4 tỷ,mt","Quận Bắc Từ Liêm, Hà Nội",3 tỷ 400 triệu,30 m2,5 PN,5 WC
3182,"Mặt Phố Phan Đình Phùng, 180m2, Mặt Tiền 6m, 1 Mặt Phố 2 Mặt Đường Ôtô","Quận Ba Đình, Hà Nội",120 tỷ,180 m2,1 PN,1 WC
3183,Chính chủ bán nhà 8 tầng phố huỳnh thúc kháng DT 90m MT 10m giá 29 tỷ,"Quận Đống Đa, Hà Nội",29 tỷ,90 m2,10 PN,10 WC
3184,"Tôi chính chủ bán Gấp Nhà Đặng Thai Mai 70m2, MT 6,5m, 10,7 tỷ","Quận Tây Hồ, Hà Nội",10 tỷ 700 triệu,70 m2,4 PN,4 WC
3185,"Nhà ngõ ô tô tránh Ngọc Thuỵ 4,5 tỷ 4 tầng mới diện tích 42m2 bán gấp","Quận Long Biên, Hà Nội",4 tỷ 500 triệu,42 m2,3 PN,2 WC
3186,"Bán nhà Tây Hồ ngõ 684 Hoàng Hoa Thám 75m cấp 4 giá 6 tỷ sổ 55m, MT9m","Quận Tây Hồ, Hà Nội",6 tỷ,75 m2,1 PN,1 WC
3187,"Bán đất Vân Canh tặng nhà cấp 4 DT 37.5m2 MT 4m su cóc đỗ cửa, ô tô tr","Huyện Hoài Đức, Hà Nội",53 triệu,38 m2,2 PN,1 WC
3188,Ngọc Thụy 217m đất mặt đường 25m giá đầu tư Chỉ hơn 21 tỷ,"Quận Long Biên, Hà Nội",21 tỷ,217 m2,0 PN,0 WC
3189,"15.x tỷ! Ô tô, p.lô, vỉa hè Hoàng Văn Thái, 75m2, mt 5m, kv VIP, nhà","Quận Thanh Xuân, Hà Nội",15 tỷ,75 m2,4 PN,4 WC
3190,"Bán đất Tây Hồ ngõ 172 Âu Cơ 55m2 x đất - MT: 5m hướng TN bán 4,1 tỷ","Quận Tây Hồ, Hà Nội",4 tỷ 100 triệu,55 m2,0 PN,0 WC
3191,"Bán nhà ngõ 163 Nguyễn Văn Cừ giá 4.5 tỷ, 41mx5T, Lô góc, Nhà thoáng","Quận Long Biên, Hà Nội",4 tỷ 500 triệu,41 m2,3 PN,4 WC
3192,"Bán nhà riêng ngõ 36 Dịch Vọng Hậu giá 7.8 tỷ, 65mx4T, đẹp, giao ngay","Quận Cầu Giấy, Hà Nội",7 tỷ 800 triệu,65 m2,4 PN,4 WC
3193,"Bán nhà phân lô MP Lạc Long Quân - Tây Hồ, diện tích 62m2","Quận Cầu Giấy, Hà Nội",9 tỷ 600 triệu,62 m2,4 PN,4 WC
3194,"Mặt Phố Hàng Gà, 7 Tầng Thang Máy Mới Xây, 72m2, Mặt Tiền 7m, 1.2 Tỷ/N","Quận Hoàn Kiếm, Hà Nội",76 tỷ,72 m2,7 PN,7 WC
3195,"Chính chủ bán nhà 7 tầng phố nguyên hồng DT 90m MT 7,5m giá 24 tỷ","Quận Đống Đa, Hà Nội",24 tỷ,90 m2,14 PN,14 WC
3196,"Siêu hiếm nhà 35m2 ngõ ô tô 7 chỗ Thạch Bàn nhà 5 tầng mới chỉ có 3,8","Quận Long Biên, Hà Nội",3 tỷ 800 triệu,35 m2,4 PN,3 WC
3197,"Tôi chính chủ bán Gấp CHCC N03 NGOẠI GIAO ĐOÀN 130m2, 6,75 tỷ, View hồ","Quận Bắc Từ Liêm, Hà Nội",6 tỷ 750 triệu,130 m2,3 PN,3 WC
3198,"Duy nhất có 1 căn góc 2 ban công đông nam, tầng trung 3 ngủ vể ở luôn.","Quận Nam Từ Liêm, Hà Nội",2 tỷ 780 triệu,111 m2,3 PN,2 WC
3199,Bán nhà Tây Hồ ngõ 120 Hoàng Hoa Thám 43m x 3 tầng MT5m 4.9 tỷ,"Quận Tây Hồ, Hà Nội",4 tỷ 900 triệu,43 m2,3 PN,2 WC
3200,"Nhà 5 tầng Vân Canh - 2 mặt thoáng, xe 7 chỗ vào nhà","Huyện Hoài Đức, Hà Nội",3 tỷ 550 triệu,36 m2,5 PN,4 WC
3201,Biệt thự Đơn Lập Phố Chính Trung 250m mà giá chỉ hơn 20 tỷ,"Huyện Gia Lâm, Hà Nội",20 tỷ,250 m2,4 PN,5 WC
3202,"Nhà đẹp ô tô, kinh doanh khương trung, thanh xuân, 45m2 x 4t, mt","Quận Thanh Xuân, Hà Nội",7 tỷ 100 triệu,45 m2,3 PN,3 WC
3203,"Chính chủ bán gấp nhà mặt ngõ Văn Cao DT40mx 2tầng, ngõ ô tô tránh.","Quận Ba Đình, Hà Nội",2 tỷ 400 triệu,40 m2,2 PN,1 WC
3204,"Bán nhà gấp ở Xuân Diệu Tây Hồ 30m2 x 5t - MT: 3m hướng Đ bán 4,7 tỷ","Quận Tây Hồ, Hà Nội",4 tỷ 700 triệu,30 m2,3 PN,3 WC
3205,"(NGÕ Ô TÔ) Bán gấp nhà ngõ 424 Ngọc Thụy giá 4.5 tỷ, 40Mx5T, Lô góc","Quận Long Biên, Hà Nội",4 tỷ 500 triệu,40 m2,3 PN,4 WC
3206,"Bán gấp nhà Mặt phố Bạch Đằng giá 10 tỷ, 90m2, KD lớn","Quận Hai Bà Trưng, Hà Nội",10 tỷ,90 m2,1 PN,1 WC
3207,"Bán nhà mặt phố lạc long quân, tây hồ Hà nội 19m x 2 tầng giá 5.45 t","Quận Tây Hồ, Hà Nội",5 tỷ 450 triệu,19 m2,1 PN,1 WC
3208,Chính chủ bán tòa nhà 9 tầng phố lê văn lương DT 165m MT 13m giá 56 tỷ,"Quận Cầu Giấy, Hà Nội",56 tỷ,165 m2,15 PN,15 WC
3209,"Mặt phố lớn Ngọc Thuỵ ô tô tránh, siêu kinh doanh 80m2 nhà 6 tầng bán","Quận Long Biên, Hà Nội",15 tỷ 800 triệu,80 m2,4 PN,3 WC
3210,"Bán Gấp Đất Đặng Thai Mai 142m2 x Đất, MT 9m - Giá: 33 tỷ, OTO, KD lớn","Quận Tây Hồ, Hà Nội",33 tỷ,142 m2,0 PN,0 WC
3211,"Bán nhà Tây Hồ ngõ 409 An Dương Vương 45m2x4Tang MT 3.8m, giá 4.2 tỷ","Quận Tây Hồ, Hà Nội",4 tỷ 200 triệu,45 m2,4 PN,3 WC
3212,"Bán nhanh 45m2 MT 3m8 đất Hậu Ái ngõ hơn 2m, 50m ra đường ô tô tránh","Huyện Hoài Đức, Hà Nội",1 tỷ 980 triệu,45 m2,0 PN,0 WC
3213,130m đất An đào Gia Lâm đồng bộ cùng Vin Ocean park giá 19. tỷ,"Huyện Gia Lâm, Hà Nội",19 tỷ,130 m2,0 PN,0 WC
3214,"Cực hiếm! 6.2 tỷ Dòng tiền Thanh Xuân, Ô TÔ, 45m2, 8 phòng, DT 45tr/T","Quận Thanh Xuân, Hà Nội",6 tỷ 200 triệu,45 m2,8 PN,5 WC
3215,"Cần bán nhà riêng phố Thụy Khuê Q Tây Hồ, DT 58m2 x 5 tầng MT 5m.","Quận Tây Hồ, Hà Nội",7 tỷ,58 m2,6 PN,5 WC
3216,"Bán nhà gấp Xuân Diệu Tây Hồ 110m2 x 6 T - MT: 5m Hướng N Bán 10,2tỷ","Quận Tây Hồ, Hà Nội",10 tỷ 200 triệu,110 m2,4 PN,4 WC
3217,"[NGÕ CẤP CỨU] Bán nhà Lâm Du giá 5.1 tỷ, 51Mx5T Ngõ thông, Nhà rộng","Quận Long Biên, Hà Nội",5 tỷ 100 triệu,51 m2,4 PN,4 WC
3218,"Bán gấp lô đất 150m2 giá 15 tỷ phố Xuân La, quận Tây Hồ, TP Hà Nội","Quận Tây Hồ, Hà Nội",15 tỷ,150 m2,1 PN,1 WC
3219,"Bán Mặt phố Khương Đình giá 5.7 tỷ, 37m2, KD đông đúc","Quận Thanh Xuân, Hà Nội",5 tỷ 700 triệu,35 m2,3 PN,3 WC
3220,Chính chủ bán nhà 9 tầng mặt phố Duy Tân DT 660m căn góc 2 mặt phố,"Quận Cầu Giấy, Hà Nội",200 tỷ,660 m2,16 PN,16 WC
3221,Nhà hiếm mặt phố Lâm Du 6 tầng mới cứng chỉ với 12 tỷ kinh doanh siêu,"Quận Long Biên, Hà Nội",12 tỷ,60 m2,4 PN,3 WC
3222,"Bán GẤP căn nhà MP Yên Phụ, Tây Hồ, DT 87m2, MT 5,5m giá 9,6 tỷ, ô tô","Quận Tây Hồ, Hà Nội",9 tỷ 600 triệu,56 m2,5 PN,1 WC
3223,"Bán CC 137 Nguyễn ngọc vũ 76,6m2 chia 2 ngủ ban công Hướng Nam","Quận Cầu Giấy, Hà Nội",2 tỷ 700 triệu,77 m2,2 PN,2 WC
3224,"Bán CHCC Sun Grand City Tầng 16 54m giá 4.3 tỷ 1 ngủ 1 VS, Full đồ","Quận Tây Hồ, Hà Nội",4 tỷ 300 triệu,54 m2,1 PN,1 WC
3225,"Nhà Vân Canh 40m2 x4 tầng ô góc 2 thoáng, 30m ra đường ô tô","Huyện Hoài Đức, Hà Nội",3 tỷ 250 triệu,40 m2,5 PN,4 WC
3226,"56m Đất Đào Xuyên, Đa Tốn Phân lô Ô tô chỉ 2.x tỷ","Huyện Gia Lâm, Hà Nội",2 tỷ,56 m2,0 PN,0 WC
3227,"7.8 tỷ! Cực hiếm! Ô tô vòng quanh LK Thịnh Liệt, 75m2, Mt 5m, nhà đẹp","Quận Hoàng Mai, Hà Nội",7 tỷ 800 triệu,75 m2,4 PN,4 WC
3228,"Bán nhà phố Trung Kính Cầu Giấy DT 45m2 x 5 tầng MT4m, đường rộng 7m","Quận Cầu Giấy, Hà Nội",9 tỷ 500 triệu,45 m2,4 PN,3 WC
3229,"Bán nhà gấp ngõ Âu Cơ Tây Hồ 20m2 x 5T - MT: 2m hướng TB Bán 4,1 tỷ","Quận Tây Hồ, Hà Nội",4 tỷ 100 triệu,20 m2,3 PN,2 WC
3230,"Bán nhà 3 tầng diện tích 84m2 khu Âu Cơ, Tây Hồ, Hà Nội","Quận Tây Hồ, Hà Nội",15 tỷ 100 triệu,85 m2,6 PN,3 WC
3231,"Bán nhà Mặt ngõ 697 Giải Phóng giá 6.2 tỷ, 45mx5T, đẹp ở ngay, oto đỗ","Quận Hoàng Mai, Hà Nội",6 tỷ 200 triệu,45 m2,4 PN,4 WC
3232,Bán nhà riêng có mệnh danh “ sân vườn thượng Uyển” Nguyễn Đình Thi,"Quận Tây Hồ, Hà Nội",174 tỷ 900 triệu,210 m2,6 PN,6 WC
3233,"Chính chủ bán nhà mặt phố Giảng Võ DT 90m MT 5,2m căn góc giá 40 Tỷ","Quận Ba Đình, Hà Nội",40 tỷ,90 m2,5 PN,5 WC
3234,"Sang tên gấp nhà phố Lạc Long Quân, Tây Hồ 43m2 x 5T, MT 5,2m, 13,5 tỷ","Quận Tây Hồ, Hà Nội",13 tỷ 500 triệu,43 m2,4 PN,4 WC
3235,"Bán nhà Tây Hồ ngõ 324 Thụy Khuê 48m 3 tâng, Mtien 7m, 5 tỷ, căn góc","Quận Tây Hồ, Hà Nội",5 tỷ,48 m2,3 PN,2 WC
